,airline,dep_time,from,time_taken,stop,arr_time,to,price,class
0,GO FIRST,15:30,Bangalore,02h 30m,non-stop,18:00,Kolkata,"3,845",0.0
1,GO FIRST,08:10,Bangalore,08h 25m,1-stop,16:35,Delhi,"4,028",0.0
2,Air India,18:00,Delhi,16h 55m,1-stop,10:55,Chennai,"11,520",0.0
3,Indigo,18:50,Hyderabad,01h 15m,non-stop,20:05,Chennai,"4,453",0.0
4,Vistara,11:30,Bangalore,08h 35m,1-stop,20:05,Mumbai,"7,212",0.0
5,Indigo,17:45,Kolkata,02h 25m,non-stop,20:10,Chennai,"9,639",0.0
6,Vistara,07:40,Hyderabad,14h 45m,1-stop,22:25,Delhi,"5,823",0.0
7,Air India,09:55,Chennai,23h 10m,1-stop,09:05,Mumbai,"9,141",0.0
8,Indigo,11:50,Chennai,04h 45m,1-stop,16:35,Mumbai,"6,783",0.0
9,Vistara,08:00,Bangalore,09h 00m,1-stop,17:00,Hyderabad,"6,577",0.0
10,Indigo,14:30,Chennai,07h 05m,1-stop,21:35,Mumbai,"1,830",0.0
11,Vistara,07:10,Kolkata,16h 10m,2+-stop,23:20,Bangalore,"8,111",0.0
12,Vistara,10:45,Chennai,10h 10m,1-stop,20:55,Hyderabad,"14,954",0.0
13,Air India,20:30,Kolkata,02h 30m,non-stop,23:00,Delhi,"3,016",0.0
14,Indigo,06:10,Kolkata,08h 45m,1-stop,14:55,Mumbai,"4,743",0.0
15,Air India,22:15,Hyderabad,10h 35m,1-stop,08:50,Kolkata,"8,359",0.0
16,Indigo,04:00,Kolkata,06h 00m,1-stop,10:00,Delhi,"4,439",0.0
17,Vistara,08:50,Delhi,11h 05m,1-stop,19:55,Kolkata,"6,578",0.0
18,Air India,07:55,Mumbai,13h 25m,1-stop,21:20,Chennai,"12,978",0.0
19,Indigo,08:40,Bangalore,06h 40m,1-stop,15:20,Delhi,"5,134",0.0
20,Vistara,11:40,Delhi,24h 35m,1-stop,12:15,Hyderabad,"11,625",0.0
21,Vistara,21:10,Bangalore,11h 25m,1-stop,08:35,Kolkata,"8,112",0.0
22,GO FIRST,09:00,Hyderabad,06h 30m,1-stop,15:30,Delhi,"6,198",0.0
23,Air India,13:30,Kolkata,20h 40m,1-stop,10:10,Mumbai,"15,624",0.0
24,Indigo,06:30,Delhi,02h 10m,non-stop,08:40,Mumbai,"2,410",0.0
25,Vistara,10:25,Kolkata,09h 20m,1-stop,19:45,Delhi,"15,414",0.0
26,Vistara,08:50,Delhi,14h 15m,1-stop,23:05,Chennai,"4,979",0.0
27,Vistara,06:00,Mumbai,12h 05m,1-stop,18:05,Kolkata,"5,949",0.0
28,Vistara,21:05,Chennai,15h 30m,1-stop,12:35,Hyderabad,"8,627",0.0
29,GO FIRST,08:00,Mumbai,13h 25m,1-stop,21:25,Bangalore,"6,728",0.0
30,GO FIRST,08:00,Mumbai,02h 10m,non-stop,10:10,Delhi,"5,942",0.0
31,Air India,20:45,Hyderabad,12h 10m,1-stop,08:55,Delhi,"6,128",0.0
32,Vistara,13:40,Delhi,21h 50m,1-stop,11:30,Mumbai,"9,000",0.0
33,Vistara,09:45,Chennai,11h 10m,1-stop,20:55,Hyderabad,"10,757",0.0
34,GO FIRST,05:50,Delhi,02h 10m,non-stop,08:00,Kolkata,"3,999",0.0
35,Air India,21:30,Mumbai,18h 45m,1-stop,16:15,Bangalore,"6,502",0.0
36,GO FIRST,06:00,Kolkata,11h 35m,1-stop,17:35,Mumbai,"7,958",0.0
37,Vistara,19:55,Bangalore,22h 10m,2+-stop,18:05,Kolkata,"7,106",0.0
38,GO FIRST,18:10,Mumbai,05h 30m,1-stop,23:40,Bangalore,"5,102",0.0
39,Air India,20:30,Kolkata,19h 45m,1-stop,16:15,Bangalore,"13,524",0.0
40,Vistara,19:50,Delhi,12h 25m,1-stop,08:15,Mumbai,"6,296",0.0
41,Air India,11:20,Hyderabad,11h 00m,1-stop,22:20,Kolkata,"5,314",0.0
42,Indigo,22:55,Bangalore,07h 40m,1-stop,06:35,Mumbai,"5,178",0.0
43,Indigo,06:25,Kolkata,02h 15m,non-stop,08:40,Chennai,"2,966",0.0
44,Vistara,17:40,Hyderabad,14h 55m,1-stop,08:35,Kolkata,"5,960",0.0
45,GO FIRST,08:00,Delhi,06h 10m,1-stop,14:10,Bangalore,"4,020",0.0
46,Vistara,06:50,Hyderabad,08h 10m,1-stop,15:00,Mumbai,"4,416",0.0
47,Vistara,20:30,Chennai,13h 10m,1-stop,09:40,Delhi,"13,023",0.0
48,Vistara,06:30,Mumbai,16h 25m,1-stop,22:55,Hyderabad,"4,779",0.0
49,Vistara,18:50,Bangalore,16h 45m,1-stop,11:35,Mumbai,"11,205",0.0
50,Air India,14:55,Chennai,25h 00m,1-stop,15:55,Delhi,"5,601",0.0
51,Vistara,21:55,Mumbai,11h 30m,1-stop,09:25,Hyderabad,"3,971",0.0
52,Vistara,08:30,Bangalore,23h 20m,1-stop,07:50,Hyderabad,"5,322",0.0
53,Air India,15:35,Mumbai,27h 35m,1-stop,19:10,Kolkata,"11,508",0.0
54,Vistara,13:25,Hyderabad,02h 15m,non-stop,15:40,Delhi,"2,200",0.0
55,GO FIRST,19:40,Delhi,11h 50m,1-stop,07:30,Kolkata,"6,395",0.0
56,Vistara,12:30,Chennai,19h 20m,2+-stop,07:50,Hyderabad,"6,032",0.0
57,GO FIRST,17:30,Kolkata,14h 10m,1-stop,07:40,Chennai,"6,985",0.0
58,Air India,14:55,Chennai,20h 15m,1-stop,11:10,Bangalore,"4,581",0.0
59,Vistara,20:35,Hyderabad,15h 15m,1-stop,11:50,Bangalore,"6,310",0.0
60,Indigo,13:05,Bangalore,10h 40m,1-stop,23:45,Delhi,"10,061",0.0
61,Vistara,11:30,Bangalore,11h 15m,1-stop,22:45,Chennai,"6,412",0.0
62,Air India,10:00,Mumbai,26h 40m,1-stop,12:40,Chennai,"5,047",0.0
63,GO FIRST,10:55,Delhi,13h 15m,1-stop,00:10,Bangalore,"4,020",0.0
64,Air India,21:25,Delhi,26h 30m,1-stop,23:55,Mumbai,"6,456",0.0
65,GO FIRST,06:00,Mumbai,15h 45m,1-stop,21:45,Kolkata,"5,941",0.0
66,Indigo,11:50,Chennai,08h 05m,1-stop,19:55,Delhi,"3,361",0.0
67,Air India,06:10,Bangalore,15h 05m,1-stop,21:15,Mumbai,"7,313",0.0
68,Vistara,21:00,Mumbai,23h 55m,1-stop,20:55,Hyderabad,"3,334",0.0
69,Air India,05:55,Kolkata,05h 05m,1-stop,11:00,Chennai,"15,142",0.0
70,Vistara,06:50,Hyderabad,15h 55m,1-stop,22:45,Kolkata,"5,960",0.0
72,Vistara,10:15,Kolkata,11h 00m,1-stop,21:15,Mumbai,"25,389",0.0
73,Air India,20:30,Kolkata,27h 05m,1-stop,23:35,Chennai,"13,524",0.0
74,Vistara,11:30,Mumbai,08h 05m,2+-stop,19:35,Kolkata,"8,790",0.0
75,Indigo,19:10,Kolkata,03h 05m,non-stop,22:15,Mumbai,"7,959",0.0
76,Indigo,14:30,Chennai,08h 45m,1-stop,23:15,Mumbai,"2,857",0.0
77,Vistara,12:50,Delhi,04h 55m,1-stop,17:45,Bangalore,"4,496",0.0
78,Air India,08:30,Chennai,28h 20m,1-stop,12:50,Mumbai,"5,740",0.0
79,Vistara,09:30,Delhi,07h 20m,1-stop,16:50,Kolkata,"6,578",0.0
80,GO FIRST,16:45,Bangalore,07h 45m,1-stop,00:30,Delhi,"3,466",0.0
81,Vistara,16:45,Delhi,19h 30m,1-stop,12:15,Hyderabad,"6,172",0.0
82,Indigo,20:50,Chennai,09h 20m,1-stop,06:10,Mumbai,"2,857",0.0
83,Indigo,17:00,Chennai,05h 55m,1-stop,22:55,Kolkata,"4,079",0.0
84,Air India,19:00,Delhi,15h 55m,1-stop,10:55,Chennai,"3,988",0.0
85,Vistara,10:45,Chennai,09h 30m,1-stop,20:15,Mumbai,"14,099",0.0
86,Vistara,17:35,Kolkata,14h 30m,1-stop,08:05,Delhi,"15,414",0.0
87,Air India,17:50,Bangalore,23h 45m,1-stop,17:35,Hyderabad,"9,670",0.0
88,Air India,06:10,Chennai,35h 15m,1-stop,17:25,Mumbai,"12,778",0.0
89,Air India,14:10,Delhi,08h 55m,1-stop,23:05,Mumbai,"5,507",0.0
90,Vistara,12:55,Hyderabad,19h 10m,1-stop,08:05,Delhi,"10,018",0.0
